Probe Name;20240604_30103010090426-01_Sample01_01.RCC;20240604_30103010090426-01_Sample02_02.RCC;20240604_30103010090426-01_Sample04_04.RCC;20240604_30103010090426-01_Sample06_06.RCC;20240604_30103010090426-01_Sample07_07.RCC;20240604_30103010090426-01_Sample08_08.RCC;20240604_30103010090426-01_Sample09_09.RCC;20240604_30103010090426-01_Sample10_10.RCC;20240604_30103010090426-01_Sample11_11.RCC;20240604_30103010090426-01_Sample12_12.RCC
hsa-miR-30a-5p;26;50;44;39;38;37;36;80;56;154
hsa-miR-30b-5p;32;29;44;35;43;26;39;47;39;33
hsa-miR-30c-5p;46;57;45;44;49;53;35;46;29;37
hsa-miR-30d-5p;43;73;66;99;50;64;76;98;89;210
hsa-miR-30e-3p;22;31;31;24;19;23;20;17;20;19
hsa-miR-30e-5p;32;64;56;60;47;52;48;56;57;79
hsa-miR-31-5p;32;37;20;21;31;44;29;17;25;24
hsa-miR-3127-5p;48;56;44;47;44;53;35;34;36;30
hsa-miR-3130-3p;19;43;34;26;29;35;32;35;23;26
hsa-miR-3131;26;25;29;28;34;21;25;21;19;23
hsa-miR-3136-5p;34;62;51;42;71;60;49;47;31;31
hsa-miR-3140-3p;12;26;24;26;22;24;19;34;30;21
hsa-miR-3140-5p;19;18;21;19;20;18;24;14;18;21
hsa-miR-3144-3p;46;41;44;42;44;47;51;40;37;36
hsa-miR-3144-5p;20;22;21;12;19;16;12;13;10;13
hsa-miR-3147;41;33;45;31;32;34;26;32;37;34
hsa-miR-3150b-3p;37;43;23;41;22;49;33;19;28;27
hsa-miR-3151-5p;26;32;29;23;25;28;30;29;20;23
hsa-miR-3158-3p;13;19;19;19;21;17;23;15;16;11
hsa-miR-3161;28;43;32;30;24;40;30;21;30;25
hsa-miR-3164;16;52;18;34;22;28;30;20;20;19
hsa-miR-3168;41;50;51;35;48;42;59;32;40;30
hsa-miR-3179;26;50;26;36;34;43;34;21;26;27
hsa-miR-3180;40;51;37;33;35;32;50;37;36;39
hsa-miR-3180-3p;22;24;26;21;27;22;25;24;21;9
hsa-miR-3180-5p;18;40;14;25;28;25;29;27;32;28
hsa-miR-3182;52;51;47;28;41;32;37;27;39;20
hsa-miR-3185;17;21;26;17;15;11;25;21;16;15
hsa-miR-3190-3p;7;7;8;14;14;8;12;12;8;4
hsa-miR-3192-5p;46;56;39;35;47;62;33;37;21;23
hsa-miR-3195;32;63;32;38;36;35;42;32;36;29
hsa-miR-3196;23;29;19;22;29;35;22;27;20;27
hsa-miR-32-5p;35;81;33;38;44;45;43;31;33;32
hsa-miR-3202;33;75;31;31;25;55;26;28;25;38
hsa-miR-320a;36;25;35;37;26;21;32;29;23;17
hsa-miR-320b;28;35;28;31;33;34;30;30;27;16
hsa-miR-320c;26;28;24;27;30;25;24;28;14;25
hsa-miR-320d;38;70;31;29;39;53;45;34;23;35
hsa-miR-320e;334;456;305;6314;358;290;443;2017;295;895
hsa-miR-323a-3p;29;41;30;22;28;19;22;32;24;19
hsa-miR-323a-5p;15;12;11;15;18;7;13;13;14;11
hsa-miR-323b-3p;30;65;33;32;46;55;41;42;45;28
hsa-miR-323b-5p;29;33;28;24;37;33;24;30;19;19
hsa-miR-324-3p;35;52;32;29;38;36;35;33;30;35
hsa-miR-324-5p;22;37;43;24;24;21;31;31;27;19
hsa-miR-325;52;62;63;54;74;59;56;53;41;46
hsa-miR-326;25;40;26;23;22;30;27;22;18;16
hsa-miR-328-3p;39;60;22;30;45;43;31;32;26;17
hsa-miR-328-5p;30;33;27;20;34;26;28;27;14;16
hsa-miR-329-3p;32;52;34;27;36;33;33;37;21;31
hsa-miR-329-5p;20;33;31;29;34;23;32;24;23;25
hsa-miR-330-3p;12;17;17;14;16;9;14;11;13;8
hsa-miR-330-5p;24;18;25;20;17;17;16;12;12;10
hsa-miR-331-3p;30;27;33;25;21;20;26;23;24;31
hsa-miR-331-5p;20;20;29;19;25;19;22;30;18;20
hsa-miR-335-5p;36;39;46;38;47;33;34;41;25;16
hsa-miR-337-3p;25;39;38;26;22;18;33;27;20;24
hsa-miR-337-5p;19;23;21;26;23;16;19;21;16;25
hsa-miR-338-5p;17;28;24;16;17;23;25;21;9;10
hsa-miR-339-3p;33;25;24;25;26;29;30;32;20;28
hsa-miR-339-5p;21;19;22;16;24;19;20;22;12;16
hsa-miR-33a-5p;31;45;40;34;40;43;34;35;32;36
hsa-miR-33b-5p;34;40;31;24;26;27;27;25;20;11
hsa-miR-340-5p;51;57;46;59;51;41;45;60;55;52
hsa-miR-342-3p;56;65;85;89;105;63;93;76;87;97
hsa-miR-342-5p;37;42;20;33;28;43;20;30;28;25
hsa-miR-345-3p;35;32;31;27;24;21;31;24;26;25
hsa-miR-345-5p;31;57;29;29;23;41;23;36;18;27
hsa-miR-346;49;51;54;51;50;49;40;40;33;35
hsa-miR-34a-5p;46;45;55;59;26;37;48;44;31;38
hsa-miR-34b-3p;20;27;30;19;16;27;26;23;14;11
hsa-miR-34c-3p;35;27;45;22;41;24;31;42;22;31
hsa-miR-34c-5p;18;24;20;22;23;29;20;23;15;14
hsa-miR-3605-3p;26;25;32;18;15;26;26;29;19;19
hsa-miR-3605-5p;23;32;24;22;28;32;21;20;14;15
hsa-miR-361-3p;31;23;33;28;31;22;20;29;20;34
hsa-miR-361-5p;27;57;28;44;39;27;40;34;38;51
hsa-miR-3613-3p;25;15;26;16;34;29;23;20;29;12
hsa-miR-3613-5p;30;28;30;22;31;31;32;26;24;14
hsa-miR-3614-3p;42;85;37;38;52;58;43;50;52;40
hsa-miR-3614-5p;16;37;36;34;30;32;22;31;17;20
hsa-miR-3615;24;31;29;20;27;24;23;21;22;17
hsa-miR-362-3p;15;12;15;17;19;19;18;13;15;7
hsa-miR-362-5p;30;32;29;26;32;18;26;21;24;16
hsa-miR-363-3p;80;138;121;102;133;98;105;95;106;92
hsa-miR-363-5p;48;108;42;65;62;71;34;50;50;33
hsa-miR-365a-3p?miR-365b-3p;58;56;74;70;63;38;58;51;40;42
hsa-miR-365b-5p;20;50;22;34;25;38;45;17;28;15
hsa-miR-367-3p;23;45;29;31;27;40;26;30;29;29
hsa-miR-369-3p;35;39;27;41;31;48;41;37;23;25
hsa-miR-369-5p;28;20;24;16;26;16;26;18;15;10
hsa-miR-3690;43;68;28;41;41;38;41;25;38;28
hsa-miR-370-3p;39;42;54;31;32;34;34;39;25;23
hsa-miR-370-5p;20;42;28;22;30;30;17;22;14;15
hsa-miR-371a-5p;41;35;29;35;38;31;41;36;24;28
hsa-miR-371b-5p;18;23;28;12;21;20;22;21;14;24
hsa-miR-372-3p;29;24;21;21;28;30;24;33;19;22
hsa-miR-373-3p;22;29;31;22;31;15;24;28;20;22
hsa-miR-374a-3p;24;28;29;17;32;20;23;23;15;24
hsa-miR-374a-5p;80;112;72;74;72;65;97;75;104;79
hsa-miR-374b-5p;44;68;28;33;40;57;37;24;39;30
hsa-miR-374c-5p;26;37;23;25;26;38;24;30;19;27
hsa-miR-375;29;38;30;37;31;36;33;26;27;26
hsa-miR-376a-2-5p;56;44;41;33;36;28;39;37;18;22
hsa-miR-376a-3p;48;78;75;76;65;76;83;69;68;53
